trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
102,False,"{'a': 0.5, 'e': 0.3605949401730783}",20,0,-24.514719286255694,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
103,False,"{'a': 0.5, 'e': 0.3570069605691474}",20,14,10.715131993055138,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
104,False,"{'a': 0.5, 'e': 0.35345468195878016}",20,6,10.845769855519952,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
105,False,"{'a': 0.5, 'e': 0.3499377491111554}",30,14,13.697728330631895,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
106,False,"{'a': 0.5, 'e': 0.34645581033005746}",30,13,-15.88238214504217,"{0: 14, 1: 0, 2: 2, 3: 1, 4: 0}",1
107,False,"{'a': 0.5, 'e': 0.3430085174187067}",25,0,-97.06419315492289,"{0: 19, 1: 0, 2: 3, 3: 1, 4: 2}",0
108,False,"{'a': 0.5, 'e': 0.33959552564493917}",20,9,11.648945846046761,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
109,False,"{'a': 0.5, 'e': 0.33621649370673334}",25,0,-45.812297647315816,"{0: 20, 1: 1, 2: 3, 3: 0, 4: 1}",0
110,False,"{'a': 0.5, 'e': 0.33287108369807955}",20,0,-48.24238395017892,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
111,False,"{'a': 0.5, 'e': 0.32955896107518906}",25,15,5.667261102256709,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
112,False,"{'a': 0.5, 'e': 0.32627979462303947}",30,18,-65.27224801947129,"{0: 8, 1: 0, 2: 2, 3: 1, 4: 1}",1
113,False,"{'a': 0.5, 'e': 0.3230332564222529}",20,16,9.457843892371674,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
114,False,"{'a': 0.5, 'e': 0.3198190218163039}",20,7,-36.75282684079617,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 1}",1
115,False,"{'a': 0.5, 'e': 0.3166367693790532}",20,12,7.770823427819769,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
116,False,"{'a': 0.5, 'e': 0.3134861808826053}",25,12,17.586592914879713,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
117,False,"{'a': 0.5, 'e': 0.31036694126548503}",25,17,15.264740947663775,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
118,False,"{'a': 0.5, 'e': 0.30727873860113125}",30,9,17.764275809193173,"{0: 20, 1: 0, 2: 1, 3: 0, 4: 0}",1
119,False,"{'a': 0.5, 'e': 0.3042212640667041}",25,0,-0.6773563364228843,"{0: 21, 1: 2, 2: 2, 3: 0, 4: 0}",0
120,False,"{'a': 0.5, 'e': 0.30119421191220214}",20,9,10.557729428935872,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
121,False,"{'a': 0.5, 'e': 0.2981972794298874}",20,12,13.028779005045577,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
122,False,"{'a': 0.5, 'e': 0.2952301669240142}",30,21,3.881886291545799,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
123,False,"{'a': 0.5, 'e': 0.2922925776808594}",20,9,8.457617400544983,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
124,False,"{'a': 0.5, 'e': 0.28938421793905067}",25,0,8.542132642344843,"{0: 21, 1: 3, 2: 1, 3: 0, 4: 0}",1
125,False,"{'a': 0.5, 'e': 0.2865047968601901}",30,16,13.26969380099076,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
126,False,"{'a': 0.5, 'e': 0.2836540264997704}",25,8,8.537212511228761,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 0}",1
